,ARMA,ELM,ARMA+ELM,MLP,ARMA+MLP,ESN,ARMA+ESN,RBF,ARMA+RBF,ACTUAL
2019-02-21 02:00:00,2.4065431112190296,2.9803505065303537,2.8863366293193966,2.7395384,2.6325043195625355,2.7529975158836195,2.8138073549074125,2.9879553,2.91684470118485,1.811
2019-02-21 03:00:00,2.545514975010436,2.571506445734099,3.1502082905669213,2.597344,2.9434041122785026,2.5934478691126324,3.0064360008256217,2.7875705,3.6382631401410515,2.411
2019-02-21 04:00:00,2.744509035153113,2.9304018428605425,3.2936265159725115,2.9732466,3.1186807690093143,2.940238240576827,2.947313828355001,2.6961067,3.84748678783866,0.862
2019-02-21 05:00:00,1.7549599712440853,2.0885684945174634,2.2484806599456633,2.1955884,2.0946349208900816,2.072820712826165,2.2653522789167067,2.5546405,2.8212632244179137,1.68
2019-02-21 06:00:00,1.678153204822071,2.3741315997704646,2.171872569402659,2.5461643,2.0062486409182627,2.4209665515498044,2.1381282159375967,2.5177336,2.39447801103545,2.684
2019-02-21 07:00:00,2.360545937318943,3.0974725746182155,2.92966578318207,2.9902143,2.699128929872654,2.9435604365644346,2.833744957260867,3.0760372,3.1378062408162575,1.963
2019-02-21 08:00:00,2.3729863917668084,2.6620909441250435,2.7582370896639237,2.7708218,2.6006546771366814,2.8805556873668348,2.406857371434464,2.5053582,3.1728363787968377,1.161
2019-02-21 09:00:00,2.0726468464913452,2.447502531475619,2.634597558256794,2.476041,2.3856165310921753,2.3540098210473057,2.4582043765156323,2.5235531,2.9142630002083862,1.527
2019-02-21 10:00:00,2.2598433953975894,3.0182294484207635,2.9552720805773953,2.7075174,2.7565312844967105,2.4962637498777887,2.7101805658331566,3.1877465,3.3275275689815738,1.742
2019-02-21 11:00:00,2.52918665896588,3.423651951031166,3.071145629716542,2.8349576,2.8597196866148056,2.656566248541314,2.934688110058629,3.2559664,3.45359318743878,3.784
2019-02-21 12:00:00,3.289172503820661,4.026273593544695,3.756990397038535,3.8041193,3.4980061982786688,3.6661100232235997,3.769181319922248,3.56895,3.8103931878721746,2.155
2019-02-21 13:00:00,2.4830790200454245,3.5411412354693144,2.9960962906277593,3.1689298,2.767017904780532,3.066806575525545,2.9069209856703186,3.137788,2.443597857020522,2.933
2019-02-21 14:00:00,2.7147292684273827,3.364891584369469,3.2718029016261365,3.3608794,3.0346140454964745,3.2201558156985564,3.1499060383284583,3.5618873,3.7007355283455956,2.603
2019-02-21 15:00:00,2.5697942225957324,3.4189838725495303,3.2657239427320275,3.2163024,2.9673991649175098,3.0100879969810626,3.1114128424584044,3.0096514,3.261769816162627,1.359
2019-02-21 16:00:00,1.9460966069170944,2.927426692420736,2.38892907527916,2.7309682,2.247152515120219,2.566104577580064,2.287695465892865,2.961275,2.877030559248637,0.593
2019-02-21 17:00:00,1.7859358406714436,2.5037944582293337,2.3954233183330773,2.2580225,2.0956654167822837,1.9015134385337622,2.2722585649688716,3.1412158,2.3122572518042563,1.902
2019-02-21 18:00:00,2.377569204082177,2.6319866285328564,2.9294454430510717,2.6412008,2.7034125382801752,2.365516986594858,2.7119432445022724,3.1080308,2.7967658097645502,3.26
2019-02-21 19:00:00,3.228986868818635,3.7698148798353937,3.705534827182498,3.4742358,3.4096237516006176,3.38394729737425,3.5537038135889376,3.274963,3.601277956922883,1.164
2019-02-21 20:00:00,2.2839036194242173,3.0472910758629754,2.755086738051868,2.7031357,2.4428019730008774,2.620137755847984,2.7145707161321893,3.0102031,2.5939398018277817,2.106
